Currency_Code,Exchange_Rate,Date
JPY,0.3113,2022-12-12
EUR,1.2525,
AUD,0.0,2022-09-15
AUD,0.0,2022-04-20
GBP,1.1485,2022-12-09
JPY,0.6228,2022-02-09
GBP,1.0155,2022-09-02
EUR,0.0,2022-09-25
GBP,0.1956,2022-03-24
EUR,0.0,2022-01-15
EUR,0.0295,2022-02-23
GBP,0.9545,2022-04-25
JPY,1.0959,2022-12-16
JPY,0.9122,2022-05-14
JPY,0.0,2022-06-13
USD,0.9647,2022-11-26
EUR,1.1664,2022-01-26
JPY,1.4392,2022-05-01
USD,1.1448,2022-01-20
AUD,0.8209,
JPY,0.9234,2022-08-21
AUD,1.0216,2022-04-04
GBP,0.907,2022-06-05
USD,0.0,2022-09-03
GBP,0.0,2022-06-23
USD,0.0,2022-02-28
AUD,1.1748,2022-03-09
JPY,1.1295,
USD,1.3205,2022-11-18
EUR,1.0885,2022-08-21
GBP,0.4394,2022-12-20
JPY,0.6221,2022-12-07
USD,1.066,2022-08-24
EUR,0.6425,2022-06-21
JPY,0.3141,2022-07-23
USD,0.2759,2022-06-09
USD,0.2958,2022-06-12
JPY,1.2876,2022-07-05
USD,1.2635,2022-10-29
JPY,0.0,2022-01-16
JPY,1.4601,2022-12-10
GBP,0.6798,2022-08-27
GBP,0.1115,2022-05-23
AUD,0.5757,2022-06-12
USD,1.172,2022-02-17
AUD,0.3839,2022-10-30
EUR,0.0,2022-05-18
AUD,0.0,2022-02-08
JPY,0.6336,2022-01-16
EUR,0.0697,2022-05-31
GBP,0.0,2022-07-02
USD,0.0,2022-01-29
JPY,1.2221,2022-10-13
GBP,0.0,2022-12-15
USD,1.1515,2022-11-20
AUD,0.9644,2022-04-26
AUD,1.1687,2022-08-04
GBP,1.3233,2022-10-25
EUR,0.3862,2022-09-29
JPY,0.7337,2022-08-02
GBP,0.4954,2022-12-08
USD,0.0,2022-12-17
EUR,0.0,2022-08-17
GBP,0.598,2022-12-16
GBP,0.5343,2022-04-20
GBP,0.0,2022-07-26
JPY,1.3197,2022-02-15
JPY,0.8117,2022-05-14
GBP,0.4374,2022-01-24
EUR,0.2989,2022-07-16
GBP,1.4263,2022-12-27
AUD,0.9497,2022-06-01
JPY,0.4833,2022-01-26
JPY,0.9622,2022-05-16
GBP,1.3723,2022-09-29
EUR,1.4341,2022-07-28
AUD,0.0415,2022-04-13
AUD,0.5001,2022-05-25
USD,0.6431,2022-04-24
EUR,0.7986,2022-07-07
EUR,0.0,2022-01-14
GBP,0.0,2022-01-11
USD,0.2655,2022-04-04
GBP,0.1003,2022-03-10
GBP,0.5699,2022-05-26
USD,0.0,2022-07-07
USD,0.6458,2022-11-10
GBP,0.0,2022-11-15
EUR,0.2035,
